governorate,city,category,item,avg_price_egp,min_price_egp,max_price_egp
Cairo,New Cairo,Childcare,"International Primary School, Annual Tuition per Child",40000.0,40000.0,485251.16
Cairo,New Cairo,Clothing And Shoes,Jeans (Levi's 501 or Similar),1233.33,650.0,2500.0
Cairo,New Cairo,Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),2277.27,1000.0,3000.0
Cairo,New Cairo,Clothing And Shoes,Nike Running Shoes (Mid-Range),5375.0,3000.0,10000.0
Cairo,New Cairo,Clothing And Shoes,Men's Leather Business Shoes,3166.67,1000.0,6000.0
Cairo,New Cairo,Rent Per Month,1 Bedroom Apartment in City Centre,12666.67,3000.0,20000.0
Cairo,New Cairo,Rent Per Month,1 Bedroom Apartment Outside of City Centre,8750.0,2500.0,15000.0
Cairo,New Cairo,Rent Per Month,3 Bedroom Apartment in City Centre,17000.0,4000.0,30000.0
Cairo,New Cairo,Rent Per Month,3 Bedroom Apartment Outside of City Centre,16600.0,2800.0,25000.0
Cairo,New Cairo,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,40000.0,,
Cairo,New Cairo,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,41500.0,30000.0,53000.0
Cairo,New Cairo,Salaries And Financing,Average Monthly Net Salary (After Tax),6000.0,,
Cairo,New Cairo,Salaries And Financing,"Annual Mortgage Interest Rate (20-Year Fixed, in %)",17.47,8.0,27.5
Matruh,El Alamein,Restaurants,Meal at an Inexpensive Restaurant,250.0,150.0,500.0
Matruh,El Alamein,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",750.0,700.0,950.0
Matruh,El Alamein,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),160.0,150.0,200.0
Matruh,El Alamein,Restaurants,Domestic Draft Beer (0.5 Liter),70.0,70.0,70.0
Matruh,El Alamein,Restaurants,Cappuccino (Regular Size),72.0,30.0,120.0
Matruh,El Alamein,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",18.75,15.0,20.0
Matruh,El Alamein,Restaurants,Bottled Water (0.33 Liter),6.0,5.0,7.0
Matruh,El Alamein,Markets,"Milk (Regular, 1 Liter)",49.0,35.0,55.0
Matruh,El Alamein,Markets,Fresh White Bread (500 g Loaf),15.33,11.0,20.0
Matruh,El Alamein,Markets,White Rice (1 kg),28.6,22.0,36.0
Matruh,El Alamein,Markets,"Eggs (12, Large Size)",72.0,54.0,84.0
Matruh,El Alamein,Markets,Local Cheese (1 kg),150.0,100.0,250.0
Matruh,El Alamein,Markets,Chicken Fillets (1 kg),212.0,180.0,250.0
Matruh,El Alamein,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),392.5,350.0,450.0
Matruh,El Alamein,Markets,Apples (1 kg),85.0,25.0,150.0
Matruh,El Alamein,Markets,Bananas (1 kg),35.0,25.0,57.0
Matruh,El Alamein,Markets,Oranges (1 kg),25.0,20.0,25.0
Matruh,El Alamein,Markets,Tomatoes (1 kg),18.33,10.0,25.0
Matruh,El Alamein,Markets,Potatoes (1 kg),18.17,10.0,25.0
Matruh,El Alamein,Markets,Onions (1 kg),21.4,15.0,25.0
Matruh,El Alamein,Markets,Lettuce (1 Head),22.5,10.0,25.0
Matruh,El Alamein,Markets,Bottled Water (1.5 Liter),10.71,10.0,12.0
Matruh,El Alamein,Markets,"Cigarettes (Pack of 20, Marlboro)",112.5,100.0,125.0
Matruh,El Alamein,Transportation,Taxi Start (Standard Tariff),17.5,9.0,20.0
Matruh,El Alamein,Transportation,Taxi 1 km (Standard Tariff),25.0,15.0,30.0
Matruh,El Alamein,Transportation,Taxi 1 Hour Waiting (Standard Tariff),50.0,50.0,50.0
Matruh,El Alamein,Transportation,Gasoline (1 Liter),19.25,15.0,24.0
Matruh,El Alamein,Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),1690000.0,1500000.0,1690000.0
Matruh,El Alamein,Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),1216666.67,1150000.0,1250000.0
Matruh,El Alamein,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",1130.0,650.0,1700.0
Matruh,El Alamein,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",212.0,100.0,1000.0
Matruh,El Alamein,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",444.0,250.0,2050.0
Matruh,El Alamein,Sports And Leisure,Cinema Ticket (International Release),150.0,120.0,200.0
Matruh,El Alamein,Childcare,"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",1666.67,1666.67,1666.67
Matruh,El Alamein,Clothing And Shoes,Jeans (Levi's 501 or Similar),860.0,400.0,2500.0
