listing_id,category,governorate,city,location_full,location_name,property_type,price_egp,price_period,price_per_sqm,size_sqm,bathrooms,latitude,longitude,is_verified,is_premium,title,agent_name,broker_name,scraped_date
67736939,Shop,Cairo,New Cairo,"Riviera heights, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Riviera heights,Shop,29768,monthly,875.53,34,none,30.02341079711914,31.486873626708984,False,False,Commercial spaces available for immediate delivery,Novus Stanza Adel,Novus Stanza,2026-05-12
67735536,Shop,Cairo,New Cairo,"Riviera heights, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Riviera heights,Shop,40440,monthly,898.67,45,none,30.02341079711914,31.486873626708984,False,False,Commercial instant delivery in Riviera Heights 45m,Novus Stanza Adel,Novus Stanza,2026-05-12
67734898,Shop,Giza,Sheikh Zayed,"Piazza 59 Mall, 6th District, Sheikh Zayed City, Giza",Piazza 59 Mall,Shop,228000,monthly,1200.0,190,1,30.039941787719727,30.98538589477539,False,False,Finished Shop190MRent  Piazza 59 Mall Sheikh Zayed,Ali Hassa,Driven Properties,2026-05-12
67734068,Shop,Cairo,New Cairo,"Bank Center Street, South Teseen St., The 5th Settlement, New Cairo City, Cairo",Bank Center Street,Shop,882000,monthly,2930.23,301,none,30.01827621459961,31.421613693237305,False,False,shop 301m in Idris Hub 90th Street Fifth Settlemen,Mohamed El Sayed,Summit Real Estate,2026-05-12
67733460,Shop,Cairo,New Cairo,"Granoy, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Granoy,Shop,90000,monthly,1500.0,60,1,30.02072525024414,31.43012428283692,False,False,Ready to Move Shop for Rent with Prime Location,Commercial Square,Commercial Square,2026-05-12
67732903,Shop,Giza,6th of October,"Kazan Plaza, 6 October Compounds, 6 October City, Giza",Kazan Plaza,Shop,1600000,monthly,1240.31,1290,4,0.0083950003609061,30.965131759643555,False,False,For Rent 1290 sqm Commercial shop in Kazan Mall,Maryam sayed,Property Hills Star,2026-05-12
67731079,Shop,Cairo,New Cairo,"Doctor Ahmed Okasha St., El Banafseg 6, El Banafseg, New Cairo City, Cairo",Doctor Ahmed Okasha St.,Shop,65000,monthly,1300.0,50,none,30.055280685424805,31.46738815307617,False,False,"Shops for rent in a commercial mall in Banafseg, s",KMG KMG,KMG Real Estate,2026-05-12
67730850,Shop,Cairo,Cairo,"Ahmed Al Zomor St., 9th Zone, Nasr City, Cairo",Ahmed Al Zomor St.,Shop,220000,monthly,378.01,582,4,30.047822952270508,31.366687774658203,False,False,Commercial space for rent in Nasr City,Mohamed Emad,bnb,2026-05-12
67730857,Shop,Cairo,Cairo,"Mostafa Al Nahas St., 6th Zone, Nasr City, Cairo",Mostafa Al Nahas St.,Shop,195000,monthly,600.0,325,2,30.05398368835449,31.33910369873047,False,False,"Luxury commercial space in a prime location,",Mohamed Emad,bnb,2026-05-12
67730006,Shop,Cairo,New Cairo,"Street70, District 2, The 5th Settlement, New Cairo City, Cairo",Street70,Shop,30000,monthly,600.0,50,2,30.01462745666504,31.436050415039062,False,False,Shop for rent at the lowest price per meter in a c,KMG KMG,KMG Real Estate,2026-05-12
67729352,Shop,Cairo,New Cairo,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Palm Hills New Cairo,Shop,246000,monthly,1000.0,246,2,30.01227188110352,31.57951545715332,False,False,Commercial space for rent – ​​New Cairo,Omar  Adel,Picky Properties,2026-05-12
67727763,Shop,Cairo,New Cairo,"North Lotus, El Lotus, New Cairo City, Cairo",North Lotus,Shop,470000,monthly,3916.67,120,1,30.034791946411133,31.520736694335938,False,False,Shop for rent in Leros Mall - North 90,Top Homes Egypt,Top Homes Real Estate,2026-05-12
67727762,Shop,Cairo,New Cairo,"W Signature By Waterway, South Investors Area, New Cairo City, Cairo",W Signature By Waterway,Shop,488000,monthly,2000.0,244,1,30.019695281982425,31.475536346435547,False,False,Pharmacy for rent in WaterWay W Signature,Top Homes Egypt,Top Homes Real Estate,2026-05-12
67469172,Shop,Giza,Sheikh Zayed,"Walk of Cairo, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Walk of Cairo,Shop,95000,monthly,969.39,98,1,30.07733917236328,30.95166206359864,False,False,Under Market Price Shop 98m Finished With ACs,Enas Mosaad,Driven Properties,2026-05-12
71654985,Shop,Alexandria,Alexandria,"Cleopatra, Hay Sharq, Alexandria",Cleopatra,Shop,100000,monthly,175.44,570,1,31.21996688842773,29.939010620117188,False,False,"Licensed shop for rent, 570 sqm, finished",Gamal Mohamed,Inspire Homes,2026-05-12
71653081,Shop,Giza,Sheikh Zayed,"12th District, Sheikh Zayed City, Giza",12th District,Shop,30000,monthly,769.23,39,none,30.04366874694824,30.984777450561523,False,False,Shop - Ready to Move Prime Location,Bassam Abou Hatab,RE/MAX Al Mohager,2026-05-12
66700875,Shop,Giza,Sheikh Zayed,"Six West, Beverly Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Six West,Shop,200000,monthly,740.74,270,2,30.07122802734375,30.936044692993164,False,False,"Commercial Shop on the Main St,Very Prime Location",Aya  Magdy,Roots Development,2026-05-12
66699596,Shop,Giza,Sheikh Zayed,"Sodic West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",Sodic West,Shop,140000,monthly,921.05,152,1,30.076255798339844,30.94744110107422,False,False,"Shope Or Office, in The Strip Mall, Sheikh Zayed",Roots Development,Roots Development,2026-05-12
66696133,Shop,Giza,6th of October,"Kazan Plaza, 6 October Compounds, 6 October City, Giza",Kazan Plaza,Shop,71500,monthly,1300.0,55,1,0.0083950003609061,30.965131759643555,False,False,For Rent Commercial shop in Kazan Mall,Maryam sayed,Property Hills Star,2026-05-12
66689708,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,100000,monthly,1492.54,67,1,30.031299591064453,30.99361991882324,False,False,"Shop 67 meters,Direct Frontage,Immediate operation",Ritzy Developments,Ritzy Developments,2026-05-12
66688764,Shop,Giza,Giza,"Geziret Al Arab St. (El Mohandes Mohamed Hassan Helmy), Mohandessin, Giza",Geziret Al Arab St. (El Mohandes Mohamed Hassan Helmy),Shop,150000,monthly,937.5,160,2,30.05569648742676,31.20097541809082,False,False,Commercial shop for rent in Gezirat Al Arab St..,Haitham Rashad,Guides Real Estate,2026-05-12
66688306,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,250000,monthly,2252.25,111,1,30.031299591064453,30.99361991882324,False,False,"111 Meters For Rent,Direct Frontage,Fully finished",Ritzy Developments,Ritzy Developments,2026-05-12
66685755,Shop,Cairo,New Cairo,"Bank Center Street, South Teseen St., The 5th Settlement, New Cairo City, Cairo",Bank Center Street,Shop,150000,monthly,750.0,200,2,30.01827621459961,31.421613693237305,False,False,shop 200m rent in the Banks Complex Fifth Settleme,Mohamed El Sayed,Summit Real Estate,2026-05-12
66438534,Shop,Cairo,New Cairo,"Mohamed Naguib Axis, Abou El Houl, New Cairo City, Cairo",Mohamed Naguib Axis,Shop,90000,monthly,1000.0,90,none,29.98224830627441,31.46880149841309,False,False,Large Retail Space 90 sqm Value Mall,Aseil Alaa,Al Ofok Investment,2026-05-12
66423103,Shop,Cairo,New Cairo,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Palm Hills New Cairo,Shop,100000,monthly,714.29,140,1,30.01227188110352,31.57951545715332,False,False,Commercial Shop for Rent 95m2 Palm Hills New Cairo,Ahmed Leheta,Property Network,2026-05-12
