scraped_date,type,city,region,price,area,bedrooms,bathrooms,floor_numeric,floor_label,furnished
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,10000,225,3,3,2.0,2,no
2026-05-10,apartment,Cairo,Heliopolis,12000,180,3,2,1.0,1,no
2026-05-10,apartment,Cairo,Nasr City,17000,250,3,2,3.0,3,no
2026-05-10,duplex,Cairo,New Cairo - El Tagamoa,50000,254,3,2,0.0,Ground,yes
2026-05-10,duplex,Giza,Sheikh Zayed,35000,245,4,4,2.0,2,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,25000,238,3,3,4.0,4,no
2026-05-10,studio,Cairo,New Cairo - El Tagamoa,14000,83,1,1,3.0,3,yes
2026-05-10,apartment,Cairo,Madinaty,9000,133,3,2,4.0,4,yes
2026-05-10,apartment,Cairo,Madinaty,12000,116,3,2,4.0,4,yes
2026-05-10,apartment,Giza,Sheikh Zayed,25000,104,2,1,3.0,3,yes
2026-05-10,apartment,Cairo,Shorouk City,4000,185,3,3,0.0,Ground,no
2026-05-10,apartment,Cairo,Nasr City,15000,240,3,2,4.0,4,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,25000,200,3,3,1.0,1,no
2026-05-10,apartment,Alexandria,Sidi Gaber,10000,200,3,2,1.0,1,no
2026-05-10,apartment,Giza,Sheikh Zayed,22000,200,3,3,0.0,Ground,yes
2026-05-10,apartment,Cairo,Downtown Cairo,16500,177,3,2,4.0,4,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,9000,180,3,3,0.0,Ground,no
2026-05-10,apartment,Cairo,Madinaty,7000,131,3,2,5.0,5,no
2026-05-10,apartment,Giza,Sheikh Zayed,8000,170,3,2,1.0,1,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,8000,155,2,1,0.0,Ground,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,12000,200,3,3,2.0,2,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,22000,214,3,4,3.0,3,no
2026-05-10,apartment,Giza,Sheikh Zayed,13500,196,2,2,0.0,Ground,yes
2026-05-10,apartment,Alexandria,Glim,6500,175,3,2,10.0,10,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,11000,260,4,3,3.0,3,no
2026-05-10,apartment,Giza,Dokki,15000,230,3,3,8.0,8,no
2026-05-10,apartment,Giza,Dokki,16000,240,3,3,6.0,6,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,25000,235,3,3,1.0,1,no
2026-05-10,apartment,Giza,Mohandessin,50000,270,4,4,2.0,2,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,20000,199,3,3,2.0,2,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,13000,200,3,2,1.0,1,yes
2026-05-10,apartment,Cairo,Nasr City,4000,120,2,2,5.0,5,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,20000,200,3,2,0.0,Ground,no
2026-05-10,apartment,Giza,Sheikh Zayed,18000,198,2,3,2.0,2,no
2026-05-10,apartment,Cairo,Madinaty,6000,82,2,1,0.0,Ground,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,16000,200,3,2,1.0,1,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,25000,160,2,2,2.0,2,yes
2026-05-10,apartment,Cairo,Heliopolis,6000,110,2,1,6.0,6,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,13000,180,3,3,2.0,2,no
