Id_cost,governorate,city,category,item,avg_price_egp,min_price_egp,max_price_egp
1195,Monufia,Shebin El Kom,Clothing And Shoes,Nike Running Shoes (Mid-Range),7000,,
1196,Monufia,Shebin El Kom,Clothing And Shoes,Men's Leather Business Shoes,1000,,
1197,Minya,Minya,Restaurants,Meal at an Inexpensive Restaurant,150,100,300
1198,Minya,Minya,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",400,400,3955.85
1199,Minya,Minya,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),245,200,300
1200,Minya,Minya,Restaurants,Domestic Draft Beer (0.5 Liter),60,50,150
1201,Minya,Minya,Restaurants,Imported Beer (0.33 Liter Bottle),150,95,210
1202,Minya,Minya,Restaurants,Cappuccino (Regular Size),68,30,150
1203,Minya,Minya,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",19.56,15,30
1204,Minya,Minya,Restaurants,Bottled Water (0.33 Liter),5.5,5,10
1205,Minya,Minya,Markets,"Milk (Regular, 1 Liter)",41.67,20,70
1206,Minya,Minya,Markets,Fresh White Bread (500 g Loaf),10,10,55
1207,Minya,Minya,Markets,White Rice (1 kg),32.5,23,50
1208,Minya,Minya,Markets,"Eggs (12, Large Size)",70,60,84
1209,Minya,Minya,Markets,Local Cheese (1 kg),135,50,200
1210,Minya,Minya,Markets,Chicken Fillets (1 kg),200,170,249
1211,Minya,Minya,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),370,340,495
1212,Minya,Minya,Markets,Apples (1 kg),40,30,100
1213,Minya,Minya,Markets,Bananas (1 kg),26.67,20,50
1214,Minya,Minya,Markets,Oranges (1 kg),21.67,10,40
1215,Minya,Minya,Markets,Tomatoes (1 kg),17.67,5,40
1216,Minya,Minya,Markets,Potatoes (1 kg),17.5,10,35
1217,Minya,Minya,Markets,Onions (1 kg),20,15,30
1218,Minya,Minya,Markets,Lettuce (1 Head),12.4,5,24
1219,Minya,Minya,Markets,Bottled Water (1.5 Liter),10,7,15
1220,Minya,Minya,Markets,Bottle of Wine (Mid-Range),225,200,250
1221,Minya,Minya,Markets,Domestic Beer (0.5 Liter Bottle),72.5,55,90
1222,Minya,Minya,Markets,Imported Beer (0.33 Liter Bottle),85,85,85
1223,Minya,Minya,Markets,"Cigarettes (Pack of 20, Marlboro)",100,80,150
1224,Minya,Minya,Transportation,One-Way Ticket (Local Transport),10,5,40
1225,Minya,Minya,Transportation,Taxi Start (Standard Tariff),14,13,50
1226,Minya,Minya,Transportation,Taxi 1 km (Standard Tariff),7.5,5,20
1227,Minya,Minya,Transportation,Taxi 1 Hour Waiting (Standard Tariff),40,40,40
1228,Minya,Minya,Transportation,Gasoline (1 Liter),17,13,24
1229,Minya,Minya,Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),1690000,1690000,1690000
1230,Minya,Minya,Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),1441666.67,1300000,1700000
1231,Minya,Minya,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",936.55,578,1700
1232,Minya,Minya,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",316.67,100,500
1233,Minya,Minya,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",1000,700,2000
1234,Minya,Minya,Sports And Leisure,Monthly Fitness Club Membership,366.67,300,500
1235,Minya,Minya,Sports And Leisure,"Tennis Court Rental (1 Hour, Weekend)",250,200,300
1236,Minya,Minya,Sports And Leisure,Cinema Ticket (International Release),250,150,350
1237,Minya,Minya,Childcare,"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",4833.33,3000,6000
1238,Minya,Minya,Childcare,"International Primary School, Annual Tuition per Child",123750,95000,150000
1239,Minya,Minya,Clothing And Shoes,Jeans (Levi's 501 or Similar),500,300,1000
1240,Minya,Minya,Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),2000,1500,5000
1241,Minya,Minya,Clothing And Shoes,Nike Running Shoes (Mid-Range),4250,2500,15000
1242,Minya,Minya,Clothing And Shoes,Men's Leather Business Shoes,2575,1000,5000
1243,Minya,Minya,Rent Per Month,1 Bedroom Apartment in City Centre,5000,3000,8000
1244,Minya,Minya,Rent Per Month,1 Bedroom Apartment Outside of City Centre,3500,2000,6000
1245,Minya,Minya,Rent Per Month,3 Bedroom Apartment in City Centre,8000,6000,10000
1246,Minya,Minya,Rent Per Month,3 Bedroom Apartment Outside of City Centre,5333.33,4000,8000
1247,Minya,Minya,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,25000,20000,30000
1248,Minya,Minya,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,13500,12000,15000
1249,Minya,Minya,Salaries And Financing,Average Monthly Net Salary (After Tax),4000,,
1250,Minya,Minya,Salaries And Financing,"Annual Mortgage Interest Rate (20-Year Fixed, in %)",20,15,25
1251,Cairo,Cairo,Restaurants,Meal at an Inexpensive Restaurant,200,115,500
1252,Cairo,Cairo,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",800,500,2500
1253,Cairo,Cairo,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),300,250,350
1254,Cairo,Cairo,Restaurants,Domestic Draft Beer (0.5 Liter),72.5,54,200
1255,Cairo,Cairo,Restaurants,Imported Beer (0.33 Liter Bottle),150,90,250
1256,Cairo,Cairo,Restaurants,Cappuccino (Regular Size),64.12,30,120
1257,Cairo,Cairo,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",16.38,15,20
1258,Cairo,Cairo,Restaurants,Bottled Water (0.33 Liter),6.53,5,10
1259,Cairo,Cairo,Markets,"Milk (Regular, 1 Liter)",47.5,43,50
1260,Cairo,Cairo,Markets,Fresh White Bread (500 g Loaf),36.25,12.5,60
1261,Cairo,Cairo,Markets,White Rice (1 kg),35,30,40
1262,Cairo,Cairo,Markets,"Eggs (12, Large Size)",76,36,84
1263,Cairo,Cairo,Markets,Local Cheese (1 kg),208.12,80,280
1264,Cairo,Cairo,Markets,Chicken Fillets (1 kg),285,180,375
1265,Cairo,Cairo,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),460,400,500
1266,Cairo,Cairo,Markets,Apples (1 kg),72.11,40,100
1267,Cairo,Cairo,Markets,Bananas (1 kg),33.82,25,50
1268,Cairo,Cairo,Markets,Oranges (1 kg),27,16,35
1269,Cairo,Cairo,Markets,Tomatoes (1 kg),19,8,25
1270,Cairo,Cairo,Markets,Potatoes (1 kg),20,10,30
1271,Cairo,Cairo,Markets,Onions (1 kg),18.57,10,30
1272,Cairo,Cairo,Markets,Lettuce (1 Head),10,5,15
1273,Cairo,Cairo,Markets,Bottled Water (1.5 Liter),10.12,9,12
1274,Cairo,Cairo,Markets,Bottle of Wine (Mid-Range),300,150,600
1275,Cairo,Cairo,Markets,Domestic Beer (0.5 Liter Bottle),65,60,90
1276,Cairo,Cairo,Markets,Imported Beer (0.33 Liter Bottle),92.5,45,160
1277,Cairo,Cairo,Markets,"Cigarettes (Pack of 20, Marlboro)",100,85,120
1278,Cairo,Cairo,Transportation,One-Way Ticket (Local Transport),13.5,12,15
1279,Cairo,Cairo,Transportation,Monthly Public Transport Pass (Regular Price),350,,
1280,Cairo,Cairo,Transportation,Taxi Start (Standard Tariff),30,20,50
1281,Cairo,Cairo,Transportation,Taxi 1 km (Standard Tariff),9,8,12
1282,Cairo,Cairo,Transportation,Taxi 1 Hour Waiting (Standard Tariff),200,100,240
1283,Cairo,Cairo,Transportation,Gasoline (1 Liter),19.24,15,24
1284,Cairo,Cairo,Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),1690000,1600000,1800000
1285,Cairo,Cairo,Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),1400000,1150000,1700000
1286,Cairo,Cairo,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",1700,1062.5,1700
