city,name,amenity,shop
Alexandria,السلطان,cafe,
Alexandria,La Chica,,clothes
Alexandria,قرية ماليزيا,restaurant,
Alexandria,Zarda,cafe,
Alexandria,Pick'N Go,cafe,
Alexandria,مسمط الفاروق ( حمو فاروق ),restaurant,
Alexandria,The Alexandria Deli,cafe,
Alexandria,اشرف الماني مشويات,fast_food,
Alexandria,Pryzm,,clothes
Alexandria,مطعم الكني فروق,restaurant,
Alexandria,البان البوهي,,supermarket
Alexandria,قهوة الخولى,cafe,
Alexandria,بورتو المحروسه,cafe,
Alexandria,سى يو,restaurant,
Alexandria,صيدليه دكتور شريف رفيق,pharmacy,
Alexandria,Maria,restaurant,
Alexandria,Kansas Fried Chicken,fast_food,
Alexandria,النادى البحرى اليونانى,restaurant,
Alexandria,كرم الشام,fast_food,
Alexandria,Sarai Market,,supermarket
Alexandria,كازينو الشاطبى,cafe,
Alexandria,Faculty of fine arts Cafe,cafe,
Alexandria,AL kometra,cafe,
Alexandria,أبو الطيب,pharmacy,
Alexandria,Mugs Estate,cafe,
Alexandria,سكرية,cafe,
Alexandria,فلوكة,cafe,
Alexandria,Ob-La-Di,cafe,
Alexandria,Cilantro,restaurant,
Alexandria,ابو عميرة,,clothes
Alexandria,صيدليات دوائي,pharmacy,
Alexandria,Luna Park,restaurant,
Alexandria,أليكس ماركت - فرع تانيس,,supermarket
Alexandria,كازيون ماركت,,supermarket
Alexandria,صيدلية الدلتا,pharmacy,
Alexandria,صيدلية فارحي,pharmacy,
Alexandria,صيدلية د. أشرف نوار,pharmacy,
Alexandria,DEMO store,,clothes
Alexandria,ماكدونالدز,restaurant,
Alexandria,ليجند,,clothes
Alexandria,الحنين,fast_food,
Alexandria,Panorama,cafe,
Alexandria,نادي الجالية,restaurant,
Assiut,Unknown,fast_food,
Assiut,Pronto,restaurant,
Assiut,Unknown,pharmacy,
Assiut,Unknown,restaurant,
Assiut,كافتريا الجامعة,cafe,
Assiut,قهوة البحار مندي,cafe,
Assiut,محل كشري,restaurant,
Assiut,فطاطري الزعيم وحواوشي,restaurant,
Assiut,ساندوتش الأزهر,restaurant,
Assiut,سيلينترو,cafe,
Assiut,كشري ابو عمار,restaurant,
Assiut,صيدلية عبد المعتمد,pharmacy,
Assiut,الشبراوي,restaurant,
Assiut,سوناتا كافيه,cafe,
Assiut,خير زمان ماركت,,supermarket
Assiut,Ziad cafe & Monster Playstation,cafe,
Assiut,وافلز الحاره,cafe,
Assiut,كشري المدينة ٢,fast_food,
Assiut,Unknown,cafe,
Assiut,Unknown,,supermarket
Assiut,pizza,fast_food,
Assiut,Double Chickana,fast_food,
