Id Business,Business Name,Category,City
391,مكتبة المغربى الاسلامية,clothes,Alexandria
392,versay,clothes,Alexandria
393,ليل,cafe,Alexandria
394,elite,restaurant,Alexandria
395,carina,clothes,Alexandria
396,فيروز,restaurant,Alexandria
397,sara,clothes,Alexandria
398,الفيشاوى,cafe,Alexandria
399,rose,clothes,Alexandria
400,diab,cafe,Alexandria
401,فوكاتشاريا,restaurant,Alexandria
402,أندريه,cafe,Alexandria
403,cavalli,cafe,Alexandria
404,fruit valley,fast_food,Alexandria
405,rich,clothes,Alexandria
406,شيكوريل,cafe,Alexandria
407,تاڤرنا,restaurant,Alexandria
408,بوفيه مصر,cafe,Alexandria
409,trend,fast_food,Alexandria
410,mowafy,clothes,Alexandria
411,silversun,clothes,Alexandria
412,برلنت,clothes,Alexandria
413,pick’n go,cafe,Alexandria
414,طارق خالد,clothes,Alexandria
415,ship master,clothes,Alexandria
416,مينرڤا,clothes,Alexandria
417,بروفيل,clothes,Alexandria
418,بهجة,restaurant,Alexandria
419,pink,clothes,Alexandria
420,كشرى ع السخن,restaurant,Alexandria
421,ابو طير,restaurant,Alexandria
422,solang,clothes,Alexandria
423,sudan,clothes,Alexandria
424,عمر افندى,clothes,Alexandria
425,el-bob,clothes,Alexandria
426,هاني,supermarket,Alexandria
427,الأدهم,cafe,Alexandria
428,سلطنة صفر,cafe,Alexandria
429,بينو,cafe,Alexandria
430,ستاربكس,cafe,Alexandria
431,عصير ملوك,fast_food,Alexandria
432,المدهش,fast_food,Alexandria
433,holmes,fast_food,Alexandria
434,أدمو,clothes,Alexandria
435,شاورميزر,fast_food,Alexandria
436,ابن الباشا,fast_food,Alexandria
437,طعم حكاية,fast_food,Alexandria
438,soula,cafe,Alexandria
439,queen,clothes,Alexandria
440,سلسلة,cafe,Alexandria
441,oak bay,restaurant,Alexandria
442,فول محمد احمد,fast_food,Alexandria
443,conge,clothes,Alexandria
444,مليون,clothes,Alexandria
445,magi,clothes,Alexandria
446,ڤينيسيا,clothes,Alexandria
447,مطعم بقالي,fast_food,Alexandria
448,etisalat,mobile_phone,Alexandria
449,عمر الخيام,cafe,Alexandria
450,الاوتوبيس,fast_food,Alexandria
451,hepsi,clothes,Alexandria
452,عربية فول الجوازات,fast_food,Alexandria
453,الشفعى,clothes,Alexandria
454,د. خالد,pharmacy,Alexandria
455,ابو الحسن,supermarket,Alexandria
456,دكتور أحمد شلبى,pharmacy,Alexandria
457,spender,clothes,Alexandria
458,omar,clothes,Alexandria
459,عروس البحر,restaurant,Alexandria
460,eagle,clothes,Alexandria
461,carpin,clothes,Alexandria
462,il punto,restaurant,Alexandria
463,jil,clothes,Alexandria
464,ابو علاء,cafe,Alexandria
465,lava,cafe,Alexandria
466,el badry,mobile_phone,Alexandria
467,lorando,clothes,Alexandria
468,open,clothes,Alexandria
469,zizo,fast_food,Alexandria
470,صيدلية بروناى,pharmacy,Alexandria
471,سان سابا,pharmacy,Alexandria
472,الحمبالي,cafe,Alexandria
473,la poire,cafe,Alexandria
474,napoli,cafe,Alexandria
475,راقودة,restaurant,Alexandria
476,مقهى روبوستا,cafe,Alexandria
477,ألبان سويسرا,restaurant,Alexandria
478,القهوة اليونانية,cafe,Alexandria
479,gomla,supermarket,Alexandria
480,circle k,cafe,Alexandria
481,السوده,cafe,Alexandria
482,croissant d’alexia,cafe,Alexandria
483,karamel sham,restaurant,Alexandria
484,harrods,clothes,Alexandria
485,داليا,clothes,Alexandria
486,rou,clothes,Alexandria
487,زهو,restaurant,Alexandria
488,كافية المدينة المنورة,cafe,Alexandria
489,الملكى,cafe,Alexandria
490,chi chi,cafe,Alexandria
491,afrodit,clothes,Alexandria
492,juice corner,fast_food,Alexandria
493,premark.s,clothes,Alexandria
494,عوف,clothes,Alexandria
495,shick,clothes,Alexandria
496,papadola,restaurant,Alexandria
497,el kabten,clothes,Alexandria
498,الكابتن,mobile_phone,Alexandria
499,aldeeb scarf,clothes,Alexandria
500,spice girls,clothes,Alexandria
501,waddy,clothes,Alexandria
502,x.ford,clothes,Alexandria
503,alfagr,clothes,Alexandria
504,mavi,clothes,Alexandria
505,brand,clothes,Alexandria
506,مصطفى سالم,mobile_phone,Alexandria
507,أكسفورد,pharmacy,Alexandria
508,شهد درويش ٢,clothes,Alexandria
509,عالم الرياضه,clothes,Alexandria
510,amal wool,clothes,Alexandria
511,alfy`s,cafe,Alexandria
512,el sabrouty,clothes,Alexandria
513,رمضان,pharmacy,Alexandria
514,بهيج,fast_food,Alexandria
515,النصر,restaurant,Alexandria
516,مصطفى جاد,fast_food,Alexandria
517,العزبى,pharmacy,Alexandria
518,baggi,clothes,Alexandria
519,ابو عوف,clothes,Alexandria
520,البان وادى النيل,cafe,Alexandria
521,رغيف كبده,restaurant,Alexandria
522,mody more,clothes,Alexandria
523,أولاد ظاظا,cafe,Alexandria
524,tigter,clothes,Alexandria
525,sharm fashion,clothes,Alexandria
526,كشرى عزوز,fast_food,Alexandria
527,كبدة الحرش,fast_food,Alexandria
528,المدينة,pharmacy,Alexandria
529,الراية الدمشقية,fast_food,Alexandria
530,كير,pharmacy,Alexandria
531,kaffeine,cafe,Alexandria
532,momo,fast_food,Alexandria
533,patty & puffy,fast_food,Alexandria
534,فؤاد أحمد,pharmacy,Alexandria
535,cafe express,cafe,Alexandria
536,تبارك فارم,restaurant,Alexandria
537,أولاد ضيف,cafe,Alexandria
538,shawerma elreem,fast_food,Alexandria
539,بورصة المحطة,cafe,Alexandria
540,tota,mobile_phone,Alexandria
541,رياحين,cafe,Alexandria
542,town team,clothes,Alexandria
543,danger gucci,clothes,Alexandria
544,hegab,clothes,Alexandria
545,diamond,restaurant,Alexandria
546,günaydın,cafe,Alexandria
547,buffalo burger,fast_food,Alexandria
548,fathalla market,supermarket,Alexandria
549,البركة,fast_food,Alexandria
550,pizza roma,fast_food,Alexandria
551,family market,supermarket,Alexandria
552,runway,restaurant,Alexandria
553,5 roosters,fast_food,Alexandria
554,murano,restaurant,Alexandria
555,رويش,restaurant,Alexandria
556,embratora,clothes,Alexandria
557,baudrot,restaurant,Alexandria
558,sofianopoulo,cafe,Alexandria
559,روما,cafe,Alexandria
560,كشري أنا المعلم,fast_food,Alexandria
561,أيوب,pharmacy,Alexandria
562,orange,mobile_phone,Alexandria
563,صيدلية محطة مصر,pharmacy,Alexandria
564,قدم الخير,cafe,Alexandria
565,الحسن,cafe,Alexandria
566,الجزار,fast_food,Alexandria
567,city cafe,cafe,Alexandria
568,مشرف,pharmacy,Alexandria
569,بطاطى,cafe,Alexandria
570,capito,clothes,Alexandria
571,دانكن دونتس,fast_food,Alexandria
572,كرسبي كريم,fast_food,Alexandria
573,pick & cut,restaurant,Alexandria
574,علي الرايق سوري,restaurant,Alexandria
575,shawarma,restaurant,Alexandria
576,falafel,restaurant,Alexandria
577,٦ اكتوبر,cafe,Alexandria
578,شارع الكشري,restaurant,Alexandria
579,السلطان,cafe,Alexandria
580,la chica,clothes,Alexandria
581,قرية ماليزيا,restaurant,Alexandria
582,zarda,cafe,Alexandria
583,pick'n go,cafe,Alexandria
584,مسمط الفاروق ( حمو فاروق ),restaurant,Alexandria
585,the alexandria deli,cafe,Alexandria
586,اشرف الماني مشويات,fast_food,Alexandria
587,pryzm,clothes,Alexandria
588,مطعم الكني فروق,restaurant,Alexandria
589,البان البوهي,supermarket,Alexandria
590,قهوة الخولى,cafe,Alexandria
591,بورتو المحروسه,cafe,Alexandria
592,سى يو,restaurant,Alexandria
593,صيدليه دكتور شريف رفيق,pharmacy,Alexandria
594,maria,restaurant,Alexandria
595,kansas fried chicken,fast_food,Alexandria
596,النادى البحرى اليونانى,restaurant,Alexandria
597,كرم الشام,fast_food,Alexandria
598,sarai market,supermarket,Alexandria
599,كازينو الشاطبى,cafe,Alexandria
600,faculty of fine arts cafe,cafe,Alexandria
601,al kometra,cafe,Alexandria
602,أبو الطيب,pharmacy,Alexandria
603,mugs estate,cafe,Alexandria
604,سكرية,cafe,Alexandria
605,فلوكة,cafe,Alexandria
606,ob-la-di,cafe,Alexandria
607,cilantro,restaurant,Alexandria
608,ابو عميرة,clothes,Alexandria
609,صيدليات دوائي,pharmacy,Alexandria
610,luna park,restaurant,Alexandria
611,أليكس ماركت - فرع تانيس,supermarket,Alexandria
612,كازيون ماركت,supermarket,Alexandria
613,صيدلية الدلتا,pharmacy,Alexandria
614,صيدلية فارحي,pharmacy,Alexandria
615,صيدلية د. أشرف نوار,pharmacy,Alexandria
